logi_id,Region,sku,fiscal_week_end_date,fiscal_week_alias,a,b,c,d,e,f,g,h,i
C21000174,LATAM,800-000100,10/1/2021,Q222Wk13,0,0,0,0,0,6,0,0,0
C21000174,LATAM,800-000100,10/8/2021,Q322Wk01,0,0,0,0,0,5,0,0,0
C21000174,LATAM,800-000100,10/15/2021,Q322Wk02,0,0,1,0,0,5,0,0,0
C21000174,LATAM,800-000100,10/22/2021,Q322Wk03,0,0,0,0,0,5,0,0,0
C21000174,LATAM,800-000100,10/29/2021,Q322Wk04,0,0,2,0,0,3,0,0,0
C21000174,LATAM,800-000100,11/5/2021,Q322Wk05,0,0,0,0,0,3,0,0,0
C21000174,LATAM,800-000100,11/12/2021,Q322Wk06,0,0,0,0,0,3,0,0,0
C21000174,LATAM,800-000100,11/19/2021,Q322Wk07,0,0,0,0,0,3,0,0,0
C21000174,LATAM,800-000100,11/26/2021,Q322Wk08,0,0,0,0,0,3,0,0,0
C21000174,LATAM,800-000100,12/3/2021,Q322Wk09,0,0,0,0,0,3,0,0,0
C21000174,LATAM,800-000100,12/10/2021,Q322Wk10,0,0,0,0,0,3,0,0,0
C21000174,LATAM,800-000100,12/17/2021,Q322Wk11,0,0,0,0,0,3,0,0,0
C21000174,LATAM,800-000100,12/24/2021,Q322Wk12,0,0,0,0,0,3,0,0,0
C21000174,LATAM,800-000100,12/31/2021,Q322Wk13,0,0,0,0,0,3,0,0,0
C21000174,LATAM,800-000101,10/1/2021,Q222Wk13,0,0,17,0,0,96,904,0,0
C21000174,LATAM,800-000101,10/8/2021,Q322Wk01,0,0,65,0,0,920,0,0,0
C21000174,LATAM,800-000101,10/15/2021,Q322Wk02,0,0,81,0,0,845,0,0,0
C21000174,LATAM,800-000101,10/22/2021,Q322Wk03,0,0,181,0,0,672,0,0,0
C21000174,LATAM,800-000101,10/29/2021,Q322Wk04,0,0,32,0,0,626,0,0,0
C21000174,LATAM,800-000101,11/5/2021,Q322Wk05,0,0,33,0,0,601,0,0,0
C21000174,LATAM,800-000101,11/12/2021,Q322Wk06,0,0,128,0,0,474,0,0,0
C21000174,LATAM,800-000101,11/19/2021,Q322Wk07,0,0,51,0,0,422,0,0,0
C21000174,LATAM,800-000101,11/26/2021,Q322Wk08,0,0,32,0,0,378,0,0,0
C21000174,LATAM,800-000101,12/3/2021,Q322Wk09,0,0,40,0,0,351,0,0,0
C21000174,LATAM,800-000101,12/10/2021,Q322Wk10,0,0,127,0,0,224,0,0,0
C21000174,LATAM,800-000101,12/17/2021,Q322Wk11,336,0,35,0,0,191,336,0,0
C21000174,LATAM,800-000101,12/24/2021,Q322Wk12,0,0,15,0,0,178,336,0,0
C21000174,LATAM,800-000101,12/31/2021,Q322Wk13,0,0,7,0,0,170,336,0,0
C21000174,LATAM,800-000102,10/1/2021,Q222Wk13,0,0,1,0,0,59,0,0,0
C21000174,LATAM,800-000102,10/8/2021,Q322Wk01,0,0,2,0,0,54,0,0,0
C21000174,LATAM,800-000102,10/15/2021,Q322Wk02,600,0,6,0,0,51,600,0,0
C21000174,LATAM,800-000102,10/22/2021,Q322Wk03,0,0,0,0,0,51,600,0,0
C21000174,LATAM,800-000102,10/29/2021,Q322Wk04,0,0,3,0,0,48,600,0,0
C21000174,LATAM,800-000102,11/5/2021,Q322Wk05,0,0,0,0,0,48,0,0,0
C21000174,LATAM,800-000102,11/12/2021,Q322Wk06,0,0,0,0,0,47,0,0,0
C21000174,LATAM,800-000102,11/19/2021,Q322Wk07,0,0,7,0,0,41,0,0,0
C21000174,LATAM,800-000102,11/26/2021,Q322Wk08,0,0,6,0,0,631,0,0,0
C21000174,LATAM,800-000102,12/3/2021,Q322Wk09,0,0,24,0,0,606,0,0,0
C21000174,LATAM,800-000102,12/10/2021,Q322Wk10,0,0,24,33,0,551,0,33,0
C21000174,LATAM,800-000102,12/17/2021,Q322Wk11,0,0,28,0,0,522,0,0,0
C21000174,LATAM,800-000102,12/24/2021,Q322Wk12,0,0,18,0,0,507,0,0,0
C21000174,LATAM,800-000102,12/31/2021,Q322Wk13,0,0,11,0,0,494,0,0,0
C21000174,LATAM,800-000103,10/1/2021,Q222Wk13,0,0,3,0,0,10,0,0,0
C21000174,LATAM,800-000103,10/8/2021,Q322Wk01,0,0,6,0,0,4,0,0,0
C21000174,LATAM,800-000103,10/15/2021,Q322Wk02,0,0,3,0,0,1,0,0,0
C21000174,LATAM,800-000103,10/22/2021,Q322Wk03,0,0,0,0,0,1,0,0,0
C21000174,LATAM,800-000103,10/29/2021,Q322Wk04,0,0,0,0,0,1,0,0,0
C21000174,LATAM,800-000103,11/5/2021,Q322Wk05,0,0,0,0,0,1,0,0,0
C21000174,LATAM,800-000103,11/12/2021,Q322Wk06,0,0,1,0,0,0,0,0,0
C21000174,LATAM,800-000104,10/1/2021,Q222Wk13,0,0,1,0,0,58,0,0,0
C21000174,LATAM,800-000104,10/8/2021,Q322Wk01,0,0,2,0,0,53,0,0,0
C21000174,LATAM,800-000104,10/15/2021,Q322Wk02,0,0,3,0,0,53,0,0,0
C21000174,LATAM,800-000104,10/22/2021,Q322Wk03,0,0,18,0,0,35,0,0,0
C21000174,LATAM,800-000104,10/29/2021,Q322Wk04,0,0,0,0,0,35,0,0,0
C21000174,LATAM,800-000104,11/5/2021,Q322Wk05,0,0,0,0,0,35,0,0,0
C21000174,LATAM,800-000104,11/12/2021,Q322Wk06,0,0,0,0,0,32,0,0,0
C21000174,LATAM,800-000104,11/19/2021,Q322Wk07,0,0,4,0,0,31,0,0,0
C21000174,LATAM,800-000104,11/26/2021,Q322Wk08,0,0,2,0,0,29,0,0,0
C21000174,LATAM,800-000104,12/3/2021,Q322Wk09,0,0,2,0,0,27,0,0,0
C21000174,LATAM,800-000104,12/10/2021,Q322Wk10,0,0,2,0,0,25,0,0,0
C21000174,LATAM,800-000104,12/17/2021,Q322Wk11,0,0,2,0,0,23,0,0,0
C21000174,LATAM,800-000104,12/24/2021,Q322Wk12,0,0,0,0,0,23,0,0,0
