		Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date	Month of Calendar Date
Parent Store Number	Product Sku	April 2022	May 2022	June 2022	July 2022	August 2022	September 2022	October 2022	November 2022	December 2022	January 2023	February 2023	March 2023	April 2023	May 2023	June 2023	July 2023	August 2023	September 2023	October 2023	November 2023	December 2023	January 2024	February 2024	March 2024	April 2024
1044	910-005280	37	185	148	-74		37	222	333	259	185	296	333	74	148	222	259	185	296	37	481	1,295	518	37	666	148
1044	910-005289							50	0	100	50	100		50		0				144	36		0		108	181
1044	910-005469	312	312	195	234	507	78	507	234	507	234	273	429	273	390	546	234	195	117	-39	663	741	351	117	585	156
1044	910-005565	540	-108		432	324	432	-216	432	1,945	648	324	540	757	108	324	216	0	324	324	540	1,513	0	757	540	348
1044	910-005790	29	29	115	29		29		144	115	29	29		58	29	58	29	58	202	29	259	230	29	86	115	58
1044	910-005791		91		61	40																29	29		29	
1044	910-005851		61	61	61	40																				
1044	910-006020	38	-38				76	76	114	152	38	76	76	114	152	76	76	228			38					
1044	910-006160						462	809	578	462		116	231	116	-116	462	231	347	347	116	347	231	116	116	462	0
1044	910-006169						231	231	116	462	231	116	231	116	347	347	462	347	-116	231	116	231	231	231	231	462
1044	910-006628																		116	462	116	925	693	462	925	0
1044	910-006636																		116	0		116	116	231	578	347
1044	910-006795																		116	116	116	347	231	-231	462	462
1044	920-004536	446	134	156	290	-45	290	112	246	179	223	112	179	89	238	195	281	281	303	86	324	324	151	151	86	216
1044	920-008219	566	849	708	566	778	708	566	354	778	566	71	495	71	560	417	347	556	695	695	347	347	695	417	1,181	347
1044	920-008671	463	270	541	502	386	348	77	656	232	232	270	154	116	193	309	154	270	386	270	656	270	348	386	541	695
1044	920-009437	155	233	78	39	194	78	194	233	504	116	349	427	427	232	540	309	386	502	193	386	463	386	540	618	193
1044	920-009443	194	156	313	78	0	349	194	116	233	155	116	155	116	39	347	39	193	270	77	193	77	154	309	154	77
1044	920-011311															78	39		78	78	39	155	116	116	39	116
183	910-005280	37	111	111	-37			259	148	407	148	259	296	259		370	296	185	222	74	333	962	407	407	703	407
183	910-005289							100	-50	149	-50			50	36	72	36	36	144	72	72	72	72	36	144	36
183	910-005469	351	351	234	39	195	156	195	312	585	195	390	195	195		156	156	117	273	195	429	663	156	156	273	312
183	910-005565	324			757	324	324		0	1,297	216	108	648	216	216	216	432	432	108	216	757	1,081	108	324	432	481
183	910-005790	115	144	115	29	29	230	29	202	346	144	86		86	115	202	58	115	375	173	115	288	173	173	288	29
183	910-005791																					116		87		58
183	910-005851																									
183	910-006020											-38	38													
183	910-006160						116	116	578	231	116	231	347	347	347	347	578	116	347	116	116	462	116	0	347	116
183	910-006169							0	462	578	116	231	347	116	116	116	116	116	0			0			231	231
183	910-006628																		231	231	0	578	347	1,040	116	693
183	910-006636																		231		116	347	116	116	347	578
183	910-006795																		116	116	231	578	809	578	231	231
183	920-004536	268	112	290	290	22	268	156	268	580	134	112	201	67	151	238	259	151	216	303	108	259	195	130	130	238
183	920-008219	849	425	283	212	566	354	212	354	566	283	495	778	708	70	417	347	278	486	278	278	139	486	764	556	347
183	920-008671	193	116	541	232	232	232	463	116	116	270	425	309	154	270	193	232	348	463	502	232	772	386	270	309	270
183	920-009437	349	194	233	116	233	233	504	272	233	272	155	349	194	271	270	193	347	463	386	270	425	425	502	386	39
183	920-009443	194	39	156	233	155	194	155	155	155	116	155	116	155	155	193	193	232	39	77	347	116	116	154	193	39
183	920-011311															39	0	39	78		116	194	39	155	155	155
358	910-005280	37	74	74			0	74	111	407	74	74	333	37	37	185	111	444	333	37	111	925	259	259	555	148
358	910-005289								100	50	100	50	100	168	181	181	144	108	144	144	217	72		72	181	72
358	910-005469	156	390	273	234	351	117		312	585	195	195	195	234	234	390	234	468	312	351	312	975	195	156	507	156
358	910-005565	216	108		540	108	216		108	540	324	540	-108	108		432	216	216	432	216	324	1,189	324	324	216	265
358	910-005790	58	29	29					144	173	86	58	29	58	173	115	115	144	144	230	317	375	58	173	115	29
358	910-005791		30		30	40																58	29	29		
358	910-005792																									
358	910-005851		30	30	30	30																				
358	910-006012							-50	50																	
358	910-006020	38															38	38	152	38					-38	
358	910-006160						347		116	809	231		462	462	231	231	116	347	116		462	1,040	116	462	925	462
358	910-006169						-347	116	-116	231	231	231	231	231	116	231		231	231	116	347	347	116	462	231	347
358	910-006376																									
358	910-006628																			578	0	925	809	693	462	116
358	910-006636																		231	231	347	462		116	0	347
358	910-006795																			116		578	347	347	231	231
358	920-004536	268	379	312	246	45	112	67	112	179	223	89	67	198	195	216	173	130	303	108	151	22	86	173	195	86
358	920-008219	142	142	283	354	354	71	-71	142	495	425	566	637	425	140	486	347	347	764	486	625	347	417	625	486	347
358	920-008671	618	77	270	309	386	77	154	309	309	772	386	502	348	348	463	116	77	232	116	193	77	502	309	463	270
358	920-009437	233	233			116				155	155	194	116	116	155		77	39	154	77	39	116	116	39	193	270
358	920-009443	78	39	195	39					39				0	0	116	116	193	154	39	193	270	579	39	386	270
