Parent Store Number,Product Sku,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,January 2024,February 2024,March 2024,April 2024,Product Line Desc
1044,910-005280,37.0,185.0,148.0,-74.0,,37.0,222.0,333.0,259,185.0,296.0,333.0,74.0,148.0,222.0,259.0,185.0,296.0,37.0,481.0,"1,295",518.0,37,666,148.0,Recoil
1044,910-005289,,,,,,,50.0,0.0,100,50.0,100.0,,50.0,,0.0,,,,144.0,36.0,,0.0,,108,181.0,Recoil
1044,910-005469,312.0,312.0,195.0,234.0,507.0,78.0,507.0,234.0,507,234.0,273.0,429.0,273.0,390.0,546.0,234.0,195.0,117.0,-39.0,663.0,741,351.0,117,585,156.0,Hyjal Hero
1044,910-005565,540.0,-108.0,,432.0,324.0,432.0,-216.0,432.0,"1,945",648.0,324.0,540.0,757.0,108.0,324.0,216.0,0.0,324.0,324.0,540.0,"1,513",0.0,757,540,348.0,Stalker
1044,910-005790,29.0,29.0,115.0,29.0,,29.0,,144.0,115,29.0,29.0,,58.0,29.0,58.0,29.0,58.0,202.0,29.0,259.0,230,29.0,86,115,58.0,Karax- Rainbow
1044,910-005791,,91.0,,61.0,40.0,,,,,,,,,,,,,,,,29,29.0,,29,,Karax- Rainbow
1044,910-005851,,61.0,61.0,61.0,40.0,,,,,,,,,,,,,,,,,,,,,Karax- Rainbow
1044,910-006020,38.0,-38.0,,,,76.0,76.0,114.0,152,38.0,76.0,76.0,114.0,152.0,76.0,76.0,228.0,,,38.0,,,,,,Recoil
1044,910-006160,,,,,,462.0,809.0,578.0,462,,116.0,231.0,116.0,-116.0,462.0,231.0,347.0,347.0,116.0,347.0,231,116.0,116,462,0.0,Artanis WL
1044,910-006169,,,,,,231.0,231.0,116.0,462,231.0,116.0,231.0,116.0,347.0,347.0,462.0,347.0,-116.0,231.0,116.0,231,231.0,231,231,462.0,Artanis WL
1044,910-006628,,,,,,,,,,,,,,,,,,116.0,462.0,116.0,925,693.0,462,925,0.0,Bazooka 2
1044,910-006636,,,,,,,,,,,,,,,,,,116.0,0.0,,116,116.0,231,578,347.0,Bazooka 2
1044,910-006795,,,,,,,,,,,,,,,,,,116.0,116.0,116.0,347,231.0,-231,462,462.0,Bazooka 2
1044,920-004536,446.0,134.0,156.0,290.0,-45.0,290.0,112.0,246.0,179,223.0,112.0,179.0,89.0,238.0,195.0,281.0,281.0,303.0,86.0,324.0,324,151.0,151,86,216.0,WCB-Pattaya
1044,920-008219,566.0,849.0,708.0,566.0,778.0,708.0,566.0,354.0,778,566.0,71.0,495.0,71.0,560.0,417.0,347.0,556.0,695.0,695.0,347.0,347,695.0,417,"1,181",347.0,WCB-Barcelona
1044,920-008671,463.0,270.0,541.0,502.0,386.0,348.0,77.0,656.0,232,232.0,270.0,154.0,116.0,193.0,309.0,154.0,270.0,386.0,270.0,656.0,270,348.0,386,541,695.0,WCB-Rangoon Nara
1044,920-009437,155.0,233.0,78.0,39.0,194.0,78.0,194.0,233.0,504,116.0,349.0,427.0,427.0,232.0,540.0,309.0,386.0,502.0,193.0,386.0,463,386.0,540,618,193.0,WCB-Samui
1044,920-009443,194.0,156.0,313.0,78.0,0.0,349.0,194.0,116.0,233,155.0,116.0,155.0,116.0,39.0,347.0,39.0,193.0,270.0,77.0,193.0,77,154.0,309,154,77.0,WCB-Samui
1044,920-011311,,,,,,,,,,,,,,,78.0,39.0,,78.0,78.0,39.0,155,116.0,116,39,116.0,WCB-Samui
183,910-005280,37.0,111.0,111.0,-37.0,,,259.0,148.0,407,148.0,259.0,296.0,259.0,,370.0,296.0,185.0,222.0,74.0,333.0,962,407.0,407,703,407.0,Recoil
183,910-005289,,,,,,,100.0,-50.0,149,-50.0,,,50.0,36.0,72.0,36.0,36.0,144.0,72.0,72.0,72,72.0,36,144,36.0,Recoil
183,910-005469,351.0,351.0,234.0,39.0,195.0,156.0,195.0,312.0,585,195.0,390.0,195.0,195.0,,156.0,156.0,117.0,273.0,195.0,429.0,663,156.0,156,273,312.0,Hyjal Hero
183,910-005565,324.0,,,757.0,324.0,324.0,,0.0,"1,297",216.0,108.0,648.0,216.0,216.0,216.0,432.0,432.0,108.0,216.0,757.0,"1,081",108.0,324,432,481.0,Stalker
183,910-005790,115.0,144.0,115.0,29.0,29.0,230.0,29.0,202.0,346,144.0,86.0,,86.0,115.0,202.0,58.0,115.0,375.0,173.0,115.0,288,173.0,173,288,29.0,Karax- Rainbow
183,910-005791,,,,,,,,,,,,,,,,,,,,,116,,87,,58.0,Karax- Rainbow
183,910-005851,,,,,,,,,,,,,,,,,,,,,,,,,,Karax- Rainbow
183,910-006020,,,,,,,,,,,-38.0,38.0,,,,,,,,,,,,,,Recoil
183,910-006160,,,,,,116.0,116.0,578.0,231,116.0,231.0,347.0,347.0,347.0,347.0,578.0,116.0,347.0,116.0,116.0,462,116.0,0,347,116.0,Artanis WL
183,910-006169,,,,,,,0.0,462.0,578,116.0,231.0,347.0,116.0,116.0,116.0,116.0,116.0,0.0,,,0,,,231,231.0,Artanis WL
183,910-006628,,,,,,,,,,,,,,,,,,231.0,231.0,0.0,578,347.0,"1,040",116,693.0,Bazooka 2
183,910-006636,,,,,,,,,,,,,,,,,,231.0,,116.0,347,116.0,116,347,578.0,Bazooka 2
183,910-006795,,,,,,,,,,,,,,,,,,116.0,116.0,231.0,578,809.0,578,231,231.0,Bazooka 2
183,920-004536,268.0,112.0,290.0,290.0,22.0,268.0,156.0,268.0,580,134.0,112.0,201.0,67.0,151.0,238.0,259.0,151.0,216.0,303.0,108.0,259,195.0,130,130,238.0,WCB-Pattaya
183,920-008219,849.0,425.0,283.0,212.0,566.0,354.0,212.0,354.0,566,283.0,495.0,778.0,708.0,70.0,417.0,347.0,278.0,486.0,278.0,278.0,139,486.0,764,556,347.0,WCB-Barcelona
183,920-008671,193.0,116.0,541.0,232.0,232.0,232.0,463.0,116.0,116,270.0,425.0,309.0,154.0,270.0,193.0,232.0,348.0,463.0,502.0,232.0,772,386.0,270,309,270.0,WCB-Rangoon Nara
183,920-009437,349.0,194.0,233.0,116.0,233.0,233.0,504.0,272.0,233,272.0,155.0,349.0,194.0,271.0,270.0,193.0,347.0,463.0,386.0,270.0,425,425.0,502,386,39.0,WCB-Samui
183,920-009443,194.0,39.0,156.0,233.0,155.0,194.0,155.0,155.0,155,116.0,155.0,116.0,155.0,155.0,193.0,193.0,232.0,39.0,77.0,347.0,116,116.0,154,193,39.0,WCB-Samui
183,920-011311,,,,,,,,,,,,,,,39.0,0.0,39.0,78.0,,116.0,194,39.0,155,155,155.0,WCB-Samui
358,910-005280,37.0,74.0,74.0,,,0.0,74.0,111.0,407,74.0,74.0,333.0,37.0,37.0,185.0,111.0,444.0,333.0,37.0,111.0,925,259.0,259,555,148.0,Recoil
358,910-005289,,,,,,,,100.0,50,100.0,50.0,100.0,168.0,181.0,181.0,144.0,108.0,144.0,144.0,217.0,72,,72,181,72.0,Recoil
358,910-005469,156.0,390.0,273.0,234.0,351.0,117.0,,312.0,585,195.0,195.0,195.0,234.0,234.0,390.0,234.0,468.0,312.0,351.0,312.0,975,195.0,156,507,156.0,Hyjal Hero
358,910-005565,216.0,108.0,,540.0,108.0,216.0,,108.0,540,324.0,540.0,-108.0,108.0,,432.0,216.0,216.0,432.0,216.0,324.0,"1,189",324.0,324,216,265.0,Stalker
358,910-005790,58.0,29.0,29.0,,,,,144.0,173,86.0,58.0,29.0,58.0,173.0,115.0,115.0,144.0,144.0,230.0,317.0,375,58.0,173,115,29.0,Karax- Rainbow
358,910-005791,,30.0,,30.0,40.0,,,,,,,,,,,,,,,,58,29.0,29,,,Karax- Rainbow
358,910-005792,,,,,,,,,,,,,,,,,,,,,,,,,,Karax- Rainbow
358,910-005851,,30.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,Karax- Rainbow
358,910-006012,,,,,,,-50.0,50.0,,,,,,,,,,,,,,,,,,Recoil
358,910-006020,38.0,,,,,,,,,,,,,,,38.0,38.0,152.0,38.0,,,,,-38,,Recoil
358,910-006160,,,,,,347.0,,116.0,809,231.0,,462.0,462.0,231.0,231.0,116.0,347.0,116.0,,462.0,"1,040",116.0,462,925,462.0,Artanis WL
358,910-006169,,,,,,-347.0,116.0,-116.0,231,231.0,231.0,231.0,231.0,116.0,231.0,,231.0,231.0,116.0,347.0,347,116.0,462,231,347.0,Artanis WL
358,910-006376,,,,,,,,,,,,,,,,,,,,,,,,,,Recoil
358,910-006628,,,,,,,,,,,,,,,,,,,578.0,0.0,925,809.0,693,462,116.0,Bazooka 2
358,910-006636,,,,,,,,,,,,,,,,,,231.0,231.0,347.0,462,,116,0,347.0,Bazooka 2
358,910-006795,,,,,,,,,,,,,,,,,,,116.0,,578,347.0,347,231,231.0,Bazooka 2
358,920-004536,268.0,379.0,312.0,246.0,45.0,112.0,67.0,112.0,179,223.0,89.0,67.0,198.0,195.0,216.0,173.0,130.0,303.0,108.0,151.0,22,86.0,173,195,86.0,WCB-Pattaya
358,920-008219,142.0,142.0,283.0,354.0,354.0,71.0,-71.0,142.0,495,425.0,566.0,637.0,425.0,140.0,486.0,347.0,347.0,764.0,486.0,625.0,347,417.0,625,486,347.0,WCB-Barcelona
358,920-008671,618.0,77.0,270.0,309.0,386.0,77.0,154.0,309.0,309,772.0,386.0,502.0,348.0,348.0,463.0,116.0,77.0,232.0,116.0,193.0,77,502.0,309,463,270.0,WCB-Rangoon Nara
358,920-009437,233.0,233.0,,,116.0,,,,155,155.0,194.0,116.0,116.0,155.0,,77.0,39.0,154.0,77.0,39.0,116,116.0,39,193,270.0,WCB-Samui
358,920-009443,78.0,39.0,195.0,39.0,,,,,39,,,,0.0,0.0,116.0,116.0,193.0,154.0,39.0,193.0,270,579.0,39,386,270.0,WCB-Samui
358,920-011311,,,,,,,,,,,,,,,,,,,-39.0,-39.0,,,,,,WCB-Samui
1531,910-005280,37.0,0.0,74.0,74.0,,,148.0,74.0,259,259.0,296.0,370.0,111.0,,444.0,259.0,481.0,370.0,296.0,37.0,185,259.0,222,333,37.0,Recoil
1531,910-005289,,,,,,,50.0,100.0,50,50.0,50.0,149.0,86.0,36.0,-36.0,,,,72.0,36.0,,-36.0,,,108.0,Recoil
1531,910-005469,117.0,390.0,156.0,195.0,117.0,390.0,117.0,156.0,156,351.0,234.0,273.0,234.0,156.0,117.0,156.0,117.0,312.0,156.0,429.0,507,117.0,78,312,78.0,Hyjal Hero
1531,910-005565,324.0,216.0,108.0,216.0,216.0,324.0,216.0,0.0,324,216.0,216.0,216.0,324.0,216.0,216.0,432.0,108.0,108.0,216.0,,648,-216.0,,108,191.0,Stalker
1531,910-005790,58.0,230.0,29.0,86.0,29.0,115.0,29.0,86.0,29,58.0,115.0,29.0,144.0,86.0,173.0,86.0,86.0,230.0,202.0,202.0,403,115.0,86,86,,Karax- Rainbow
1531,910-005791,,,,,,,,,,,,,,,,,-11.0,,58.0,,0,29.0,29,87,58.0,Karax- Rainbow
1531,910-005792,,,,,,,,,,,,,,,,,,,,,,,,,,Karax- Rainbow
1531,910-006012,,,,,,,,,,,,,,,,,,,,,,,,,,Recoil
1531,910-006160,,,,,,,231.0,0.0,116,,231.0,231.0,,116.0,116.0,0.0,0.0,231.0,116.0,116.0,116,347.0,116,116,116.0,Artanis WL
1531,910-006169,,,,,,116.0,116.0,116.0,347,231.0,0.0,347.0,116.0,,462.0,347.0,116.0,231.0,347.0,347.0,0,462.0,,231,,Artanis WL
1531,910-006628,,,,,,,,,,,,,,,,,,,116.0,116.0,231,693.0,0,578,578.0,Bazooka 2
1531,910-006636,,,,,,,,,,,,,,,,,,116.0,116.0,347.0,347,0.0,,116,231.0,Bazooka 2
1531,910-006795,,,,,,,,,,,,,,,,,,,347.0,231.0,693,,-116,462,231.0,Bazooka 2
1531,920-004536,335.0,379.0,268.0,379.0,89.0,112.0,156.0,268.0,156,89.0,112.0,179.0,242.0,151.0,259.0,216.0,216.0,173.0,259.0,346.0,346,346.0,368,476,303.0,WCB-Pattaya
1531,920-008219,354.0,212.0,283.0,495.0,142.0,495.0,495.0,283.0,212,354.0,71.0,142.0,,282.0,417.0,208.0,139.0,556.0,139.0,278.0,625,278.0,347,486,139.0,WCB-Barcelona
1531,920-008671,154.0,270.0,309.0,309.0,0.0,154.0,0.0,232.0,193,232.0,116.0,232.0,154.0,116.0,463.0,232.0,386.0,618.0,309.0,502.0,270,116.0,270,348,425.0,WCB-Rangoon Nara
1531,920-009437,504.0,78.0,349.0,427.0,427.0,349.0,272.0,504.0,233,272.0,233.0,116.0,272.0,348.0,386.0,309.0,425.0,695.0,386.0,270.0,425,193.0,270,232,386.0,WCB-Samui
1531,920-009443,,78.0,39.0,155.0,116.0,194.0,116.0,194.0,-39,78.0,78.0,116.0,78.0,116.0,116.0,116.0,116.0,116.0,193.0,39.0,425,39.0,309,347,193.0,WCB-Samui
1531,920-011311,,,,,,,,,,,,,,,116.0,78.0,,0.0,39.0,78.0,78,78.0,39,116,78.0,WCB-Samui
350,910-005280,,74.0,,37.0,,,,0.0,407,148.0,222.0,,,37.0,37.0,185.0,185.0,148.0,148.0,148.0,259,0.0,,296,111.0,Recoil
350,910-005289,,,,,,-50.0,100.0,,100,199.0,50.0,,,36.0,-36.0,,36.0,36.0,72.0,,,36.0,,72,,Recoil
350,910-005469,195.0,195.0,117.0,351.0,273.0,234.0,273.0,117.0,546,39.0,78.0,234.0,117.0,234.0,156.0,117.0,117.0,156.0,78.0,195.0,780,234.0,39,312,117.0,Hyjal Hero
350,910-005565,108.0,108.0,,540.0,-216.0,108.0,,,216,216.0,216.0,540.0,216.0,,216.0,757.0,432.0,0.0,216.0,648.0,757,108.0,216,432,181.0,Stalker
350,910-005790,29.0,29.0,,29.0,58.0,86.0,,29.0,173,58.0,29.0,29.0,,29.0,173.0,29.0,115.0,58.0,58.0,,115,,,29,58.0,Karax- Rainbow
350,910-005791,,,,,,,,,,,,,,,,,,,,58.0,,29.0,,58,,Karax- Rainbow
350,910-006020,,,,,,,,,,,,,,,,38.0,38.0,,,,,,,,,Recoil
350,910-006160,,,,,,,231.0,231.0,462,231.0,,462.0,347.0,347.0,347.0,462.0,116.0,231.0,,0.0,,116.0,347,462,116.0,Artanis WL
350,910-006169,,,,,,116.0,231.0,116.0,,0.0,347.0,0.0,347.0,231.0,116.0,116.0,462.0,231.0,116.0,347.0,693,,116,,231.0,Artanis WL
350,910-006628,,,,,,,,,,,,,,,,,,,347.0,116.0,231,-116.0,116,-116,347.0,Bazooka 2
350,910-006636,,,,,,,,,,,,,,,,,,116.0,116.0,-116.0,231,231.0,,,,Bazooka 2
350,910-006795,,,,,,,,,,,,,,,,,,,,231.0,231,347.0,231,,231.0,Bazooka 2
350,920-004536,268.0,156.0,156.0,112.0,246.0,268.0,134.0,536.0,134,179.0,89.0,201.0,243.0,259.0,151.0,108.0,130.0,151.0,65.0,238.0,130,43.0,195,195,108.0,WCB-Pattaya
350,920-008219,566.0,283.0,283.0,354.0,425.0,283.0,354.0,425.0,354,283.0,425.0,283.0,212.0,280.0,417.0,139.0,417.0,208.0,417.0,139.0,347,278.0,139,278,278.0,WCB-Barcelona
350,920-008671,348.0,270.0,193.0,425.0,463.0,463.0,348.0,309.0,116,463.0,232.0,463.0,270.0,154.0,232.0,348.0,463.0,463.0,309.0,541.0,502,348.0,270,463,386.0,WCB-Rangoon Nara
350,920-009437,155.0,116.0,78.0,78.0,155.0,233.0,155.0,78.0,272,0.0,78.0,78.0,116.0,193.0,193.0,232.0,193.0,193.0,193.0,193.0,347,232.0,579,347,77.0,WCB-Samui
350,920-009443,78.0,,39.0,194.0,78.0,194.0,39.0,155.0,39,116.0,155.0,78.0,78.0,39.0,116.0,77.0,77.0,193.0,193.0,77.0,154,39.0,77,309,,WCB-Samui
350,920-011311,,,,,,,,,,,,,,,0.0,,,39.0,0.0,0.0,78,78.0,39,116,,WCB-Samui
190,910-005280,-37.0,,,0.0,,-37.0,,-37.0,148,37.0,37.0,259.0,37.0,148.0,74.0,111.0,222.0,74.0,37.0,111.0,777,,,296,148.0,Recoil
190,910-005289,,,50.0,,,,100.0,149.0,299,149.0,100.0,,,,36.0,-36.0,,36.0,,36.0,,72.0,,,,Recoil
190,910-005469,234.0,312.0,195.0,234.0,390.0,156.0,117.0,117.0,468,195.0,234.0,78.0,0.0,78.0,156.0,156.0,156.0,78.0,117.0,429.0,858,117.0,156,195,-39.0,Hyjal Hero
190,910-005565,216.0,108.0,,216.0,324.0,-108.0,-108.0,324.0,"1,081",324.0,108.0,648.0,108.0,216.0,,432.0,108.0,648.0,-108.0,648.0,648,,324,216,94.0,Stalker
190,910-005790,29.0,58.0,173.0,0.0,29.0,86.0,29.0,202.0,202,86.0,115.0,,29.0,,86.0,115.0,29.0,115.0,115.0,144.0,230,-29.0,,173,29.0,Karax- Rainbow
190,910-005791,,,,,,,,-40.0,,,,,,,,,,,,87.0,29,,29,,,Karax- Rainbow
190,910-005792,,,,,,,,,,,,,,,,,,,,,,,,,,Karax- Rainbow
190,910-005851,,,,,,,,,,,,,,,,,,,,,,30.0,,,,Karax- Rainbow
190,910-006012,,,,,,,,,,,,,,,,,,,,,-38,,,,,Recoil
190,910-006020,-38.0,,,,,,,,,,,,,,,,,,,,,,,,,Recoil
190,910-006160,,,,,,347.0,231.0,231.0,116,116.0,,116.0,231.0,231.0,347.0,116.0,462.0,,116.0,231.0,347,347.0,116,116,578.0,Artanis WL
190,910-006169,,,,,,231.0,116.0,462.0,231,116.0,116.0,-116.0,231.0,,0.0,116.0,116.0,116.0,,462.0,578,347.0,,116,116.0,Artanis WL
190,910-006376,,,,,,-38.0,,,,,,,,,,,,,,,,,,,,Recoil
190,910-006628,,,,,,,,,,,,,,,,,,231.0,231.0,116.0,347,116.0,347,462,462.0,Bazooka 2
