,logi_id,Region,sku,fiscal_week_end_date,fiscal_week_alias,a,b,c,d,e,f,g,h,i
0,C21000174,LATAM,800-000100,2021-10-01,Q222Wk13,0,0,0,0,0,6,0,0,0
1,C21000174,LATAM,800-000100,2021-10-08,Q322Wk01,0,0,0,0,0,5,0,0,0
2,C21000174,LATAM,800-000100,2021-10-15,Q322Wk02,0,0,1,0,0,5,0,0,0
3,C21000174,LATAM,800-000100,2021-10-22,Q322Wk03,0,0,0,0,0,5,0,0,0
4,C21000174,LATAM,800-000100,2021-10-29,Q322Wk04,0,0,2,0,0,3,0,0,0
5,C21000174,LATAM,800-000100,2021-11-05,Q322Wk05,0,0,0,0,0,3,0,0,0
6,C21000174,LATAM,800-000100,2021-11-12,Q322Wk06,0,0,0,0,0,3,0,0,0
7,C21000174,LATAM,800-000100,2021-11-19,Q322Wk07,0,0,0,0,0,3,0,0,0
8,C21000174,LATAM,800-000100,2021-11-26,Q322Wk08,0,0,0,0,0,3,0,0,0
9,C21000174,LATAM,800-000100,2021-12-03,Q322Wk09,0,0,0,0,0,3,0,0,0
10,C21000174,LATAM,800-000100,2021-12-10,Q322Wk10,0,0,0,0,0,3,0,0,0
11,C21000174,LATAM,800-000100,2021-12-17,Q322Wk11,0,0,0,0,0,3,0,0,0
12,C21000174,LATAM,800-000100,2021-12-24,Q322Wk12,0,0,0,0,0,3,0,0,0
13,C21000174,LATAM,800-000100,2021-12-31,Q322Wk13,0,0,0,0,0,3,0,0,0
14,C21000174,LATAM,800-000101,2021-10-01,Q222Wk13,0,0,17,0,0,96,904,0,0
15,C21000174,LATAM,800-000101,2021-10-08,Q322Wk01,0,0,65,0,0,920,0,0,0
16,C21000174,LATAM,800-000101,2021-10-15,Q322Wk02,0,0,81,0,0,845,0,0,0
17,C21000174,LATAM,800-000101,2021-10-22,Q322Wk03,0,0,181,0,0,672,0,0,0
18,C21000174,LATAM,800-000101,2021-10-29,Q322Wk04,0,0,32,0,0,626,0,0,0
19,C21000174,LATAM,800-000101,2021-11-05,Q322Wk05,0,0,33,0,0,601,0,0,0
20,C21000174,LATAM,800-000101,2021-11-12,Q322Wk06,0,0,128,0,0,474,0,0,0
21,C21000174,LATAM,800-000101,2021-11-19,Q322Wk07,0,0,51,0,0,422,0,0,0
22,C21000174,LATAM,800-000101,2021-11-26,Q322Wk08,0,0,32,0,0,378,0,0,0
23,C21000174,LATAM,800-000101,2021-12-03,Q322Wk09,0,0,40,0,0,351,0,0,0
24,C21000174,LATAM,800-000101,2021-12-10,Q322Wk10,0,0,127,0,0,224,0,0,0
25,C21000174,LATAM,800-000101,2021-12-17,Q322Wk11,336,0,35,0,0,191,336,0,0
